Date,KIMBERA.MF.Equity,GAPB.MF.Equity,CEMEXCPO.MF.Equity,ASURB.MF.Equity,GFNORTEO.MF.Equity,KOFUBL.MF.Equity,ACa.MF.Equity,VOLARA.MF.Equity,LABB.MF.Equity,FEMSAUBD.MF.Equity,OMAB.MF.Equity,GFINBURO.MF.Equity,AMXL.MF.Equity,ALSEAa.MF.Equity,ORBIAa.MF.Equity,PE&OLESa.MF.Equity,GRUMAB.MF.Equity,RA.MF.Equity,WALMEXa.MF.Equity,BOLSAA.MF.Equity,LIVEPOLC.MF.Equity,CUERVOa.MF.Equity,ELEKTRAa.MF.Equity,SITES1.MF.Equity,MEGACPO.MF.Equity,Qa.MF.Equity,GCCa.MF.Equity,BIMBOA.MF.Equity,GMEXICOB.MF.Equity,GCARSOA1.MF.Equity,TLEVICPO.MF.Equity,VESTAa.MF.Equity,ALFAA.MF.Equity,PINFRAa.MF.Equity
22-03-2017,40.07,177.8,16.25,315.09,105.86,137.97,124.98,24.57,23.66,168.92,97.45,30.17,13.35,62.54,50.6,481.48,263.45,107.56,42.19,30.22,150.71,32.59,374.35,11.36,75.52,31.44,83.72,48.03,59.77,91.13,98.9,25.09,21.87,196
23-03-2017,40.55,180.18,16.16,316.46,107.46,138.4,125.05,24.73,23.66,170.14,99.37,31.11,13.32,63.18,51.53,482.38,265.93,110.95,41.83,30.23,153.59,32.26,384.03,11.62,73.98,30.77,84.54,47.12,60.39,91.56,97.91,25.12,21.99,198.84
24-03-2017,40.83,184.18,16.1,332.89,110.71,137.75,125.75,24.87,23.19,171.21,101.17,31.44,13.32,64.04,51.69,487.43,264.1,113.62,42.1,30.48,155.88,31.77,394.47,11.64,75,30.84,82.8,47.57,60.16,92.23,97.78,25.53,22.68,200.17
27-03-2017,40.49,181.31,16.15,330.73,112.89,138.89,126.37,25.62,23.09,172.88,101.4,31.9,13.56,62.57,51.24,489.63,266.93,112.07,41.97,30.54,150.33,32.13,393.48,11.82,74.19,30.61,83.85,48.17,58.22,89.99,99.82,24.76,22.8,201.08
28-03-2017,40.33,182.01,16.08,334.03,110.5,139.14,126.42,26.71,22.84,173.99,100.92,32.37,13.68,63.28,51.43,497.33,268.6,113.4,42.3,30.3,150.79,31.95,406.89,11.83,74.2,30.28,84.49,48.51,56.61,90.8,99.34,25.48,22.84,202.47
29-03-2017,40.11,182.81,16.09,329.33,108.9,136.58,127.46,26.4,22.31,169.39,100.98,31.3,13.76,63.9,51.49,489.22,269.53,114.21,42.59,30.04,147.74,32.05,409.48,12,72.63,30.46,84.67,47.51,58.17,89.35,97.43,25.75,22.32,202.63
30-03-2017,40.28,183.45,15.92,335.21,108.99,135.74,127.12,26.22,22.17,169.29,101.25,30.71,13.53,63.23,51.14,481.63,268.18,113.27,42.81,30.41,147.39,32.1,430.94,12.05,70.67,30.42,84.69,46.96,57.54,87.7,97.53,26.04,22.28,203.09
31-03-2017,40.63,182.12,16.3,325.06,107.66,134.48,130.1,26.17,22.35,166.04,101.38,31.03,13.28,62.39,51.03,483.01,263.51,111.71,43.16,31.03,146.14,33.07,443.35,12.14,72.56,30.49,84,46.59,56.28,85.96,96.96,26.03,22.11,202.36
3-04-2017,39.93,186.18,16.29,341.59,108.55,134.53,130.55,26.17,22.35,169.87,101.71,31.63,13.39,62.98,51.47,479.04,265.28,112.01,43.5,31.19,147.39,32.99,454.82,12.05,73.14,30.55,84.1,46.51,56.37,86.29,95.07,27,22.05,202.65
4-04-2017,40.01,189.63,16.9,344.58,108.41,135.11,131.72,26.59,21.9,171.12,103.48,31.63,13.39,62.26,52.33,478.48,268.7,112.78,43.57,30.99,150.79,32.89,459.48,12.17,74.91,30.76,83.91,47.58,57.99,86.77,97.25,26.64,22.31,204.39
